timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1778889600000,2026-05-16T00:00:00Z,1788-1-1-HN,1138,851,1623,2157,
1778889660000,2026-05-16T00:01:00Z,1788-1-1-HN,4179,3121,3739,6417,
1778889720000,2026-05-16T00:02:00Z,1788-1-1-HN,49,44,171,183,
1778889780000,2026-05-16T00:03:00Z,1788-1-1-HN,98,70,246,273,
1778889840000,2026-05-16T00:04:00Z,1788-1-1-HN,0,0,87,87,
1778889900000,2026-05-16T00:05:00Z,1788-1-1-HN,8,0,23,24,
1778889960000,2026-05-16T00:06:00Z,1788-1-1-HN,0,0,27,27,
1778890020000,2026-05-16T00:07:00Z,1788-1-1-HN,0,0,0,0,
1778890080000,2026-05-16T00:08:00Z,1788-1-1-HN,0,0,134,134,
1778890140000,2026-05-16T00:09:00Z,1788-1-1-HN,0,0,45,45,
1778890200000,2026-05-16T00:10:00Z,1788-1-1-HN,8,7,65,65,
1778890260000,2026-05-16T00:11:00Z,1788-1-1-HN,3636,3126,3544,5962,
1778890320000,2026-05-16T00:12:00Z,1788-1-1-HN,6736,5390,6617,10872,
1778890380000,2026-05-16T00:13:00Z,1788-1-1-HN,3325,2620,3484,5482,
1778890440000,2026-05-16T00:14:00Z,1788-1-1-HN,0,0,297,297,
1778890500000,2026-05-16T00:15:00Z,1788-1-1-HN,0,0,180,180,
1778890560000,2026-05-16T00:16:00Z,1788-1-1-HN,0,0,176,176,
1778890620000,2026-05-16T00:17:00Z,1788-1-1-HN,3,0,126,126,
1778890680000,2026-05-16T00:18:00Z,1788-1-1-HN,0,0,17,17,
1778890740000,2026-05-16T00:19:00Z,1788-1-1-HN,62,309,265,411,
1778890800000,2026-05-16T00:20:00Z,1788-1-1-HN,682,1931,1005,2281,
1778890860000,2026-05-16T00:21:00Z,1788-1-1-HN,22,216,245,327,
1778890920000,2026-05-16T00:22:00Z,1788-1-1-HN,509,1051,1119,1617,
1778890980000,2026-05-16T00:23:00Z,1788-1-1-HN,21,250,118,277,
1778891040000,2026-05-16T00:24:00Z,1788-1-1-HN,138,1270,489,1367,
1778891100000,2026-05-16T00:25:00Z,1788-1-1-HN,116,722,338,805,
1778891160000,2026-05-16T00:26:00Z,1788-1-1-HN,89,569,769,960,
1778891220000,2026-05-16T00:27:00Z,1788-1-1-HN,896,3652,3061,4848,
1778891280000,2026-05-16T00:28:00Z,1788-1-1-HN,146,824,1240,1495,
1778891340000,2026-05-16T00:29:00Z,1788-1-1-HN,230,185,826,877,
1778891400000,2026-05-16T00:30:00Z,1788-1-1-HN,791,510,673,1157,
1778891460000,2026-05-16T00:31:00Z,1788-1-1-HN,4760,5734,6269,9738,
1778891520000,2026-05-16T00:32:00Z,1788-1-1-HN,0,114,34,118,
1778891580000,2026-05-16T00:33:00Z,1788-1-1-HN,512,763,289,963,
1778891640000,2026-05-16T00:34:00Z,1788-1-1-HN,0,106,39,112,
1778891700000,2026-05-16T00:35:00Z,1788-1-1-HN,0,40,30,50,
1778891760000,2026-05-16T00:36:00Z,1788-1-1-HN,0,144,4,144,
1778891820000,2026-05-16T00:37:00Z,1788-1-1-HN,0,2,0,2,
1778891880000,2026-05-16T00:38:00Z,1788-1-1-HN,0,50,42,65,
1778891940000,2026-05-16T00:39:00Z,1788-1-1-HN,0,0,22,22,
1778892000000,2026-05-16T00:40:00Z,1788-1-1-HN,990,2388,1509,2993,
1778892060000,2026-05-16T00:41:00Z,1788-1-1-HN,0,80,98,126,
1778892120000,2026-05-16T00:42:00Z,1788-1-1-HN,353,682,776,1091,
1778892180000,2026-05-16T00:43:00Z,1788-1-1-HN,165,405,541,695,
1778892240000,2026-05-16T00:44:00Z,1788-1-1-HN,0,0,0,0,
1778892300000,2026-05-16T00:45:00Z,1788-1-1-HN,584,1060,960,1544,
1778892360000,2026-05-16T00:46:00Z,1788-1-1-HN,0,0,0,0,
1778892420000,2026-05-16T00:47:00Z,1788-1-1-HN,240,665,645,957,
1778892480000,2026-05-16T00:48:00Z,1788-1-1-HN,0,0,0,0,
1778892540000,2026-05-16T00:49:00Z,1788-1-1-HN,918,972,1131,1751,
1778892600000,2026-05-16T00:50:00Z,1788-1-1-HN,104,99,155,211,
1778892660000,2026-05-16T00:51:00Z,1788-1-1-HN,0,0,0,0,
1778892720000,2026-05-16T00:52:00Z,1788-1-1-HN,0,0,0,0,
1778892780000,2026-05-16T00:53:00Z,1788-1-1-HN,106,377,327,510,
1778892840000,2026-05-16T00:54:00Z,1788-1-1-HN,711,1506,962,1923,
1778892900000,2026-05-16T00:55:00Z,1788-1-1-HN,319,307,102,454,
1778892960000,2026-05-16T00:56:00Z,1788-1-1-HN,395,606,170,743,
1778893020000,2026-05-16T00:57:00Z,1788-1-1-HN,320,463,478,738,
1778893080000,2026-05-16T00:58:00Z,1788-1-1-HN,0,0,0,0,
1778893140000,2026-05-16T00:59:00Z,1788-1-1-HN,979,1850,1478,2562,
1778893200000,2026-05-16T01:00:00Z,1788-1-1-HN,257,740,316,844,
1778893260000,2026-05-16T01:01:00Z,1788-1-1-HN,1,0,0,1,
1778893320000,2026-05-16T01:02:00Z,1788-1-1-HN,0,0,0,0,
1778893380000,2026-05-16T01:03:00Z,1788-1-1-HN,0,0,0,0,
1778893440000,2026-05-16T01:04:00Z,1788-1-1-HN,0,0,0,0,
1778893500000,2026-05-16T01:05:00Z,1788-1-1-HN,463,999,301,1141,
1778893560000,2026-05-16T01:06:00Z,1788-1-1-HN,2,0,0,2,
1778893620000,2026-05-16T01:07:00Z,1788-1-1-HN,0,0,0,0,
1778893680000,2026-05-16T01:08:00Z,1788-1-1-HN,79,33,18,87,
1778893740000,2026-05-16T01:09:00Z,1788-1-1-HN,0,0,0,0,
1778893800000,2026-05-16T01:10:00Z,1788-1-1-HN,97,38,11,104,
1778893860000,2026-05-16T01:11:00Z,1788-1-1-HN,349,321,218,521,
1778893920000,2026-05-16T01:12:00Z,1788-1-1-HN,65,0,0,65,
1778893980000,2026-05-16T01:13:00Z,1788-1-1-HN,412,130,240,494,
1778894040000,2026-05-16T01:14:00Z,1788-1-1-HN,18,0,0,18,
1778894100000,2026-05-16T01:15:00Z,1788-1-1-HN,274,216,45,351,
1778894160000,2026-05-16T01:16:00Z,1788-1-1-HN,0,0,0,0,
1778894220000,2026-05-16T01:17:00Z,1788-1-1-HN,73,9,18,75,
1778894280000,2026-05-16T01:18:00Z,1788-1-1-HN,937,1010,986,1694,
1778894340000,2026-05-16T01:19:00Z,1788-1-1-HN,0,0,0,0,
1778894400000,2026-05-16T01:20:00Z,1788-1-1-HN,0,0,0,0,
1778894460000,2026-05-16T01:21:00Z,1788-1-1-HN,0,0,0,0,
1778894520000,2026-05-16T01:22:00Z,1788-1-1-HN,0,0,0,0,
1778894580000,2026-05-16T01:23:00Z,1788-1-1-HN,0,0,0,0,
1778894640000,2026-05-16T01:24:00Z,1788-1-1-HN,0,0,0,0,
1778894700000,2026-05-16T01:25:00Z,1788-1-1-HN,0,0,0,0,
1778894760000,2026-05-16T01:26:00Z,1788-1-1-HN,0,0,0,0,
1778894820000,2026-05-16T01:27:00Z,1788-1-1-HN,0,0,0,0,
1778894880000,2026-05-16T01:28:00Z,1788-1-1-HN,0,0,0,0,
1778894940000,2026-05-16T01:29:00Z,1788-1-1-HN,0,0,0,0,
1778895000000,2026-05-16T01:30:00Z,1788-1-1-HN,0,0,0,0,
1778895060000,2026-05-16T01:31:00Z,1788-1-1-HN,0,0,0,0,
1778895120000,2026-05-16T01:32:00Z,1788-1-1-HN,0,0,0,0,
1778895180000,2026-05-16T01:33:00Z,1788-1-1-HN,0,180,38,183,
1778895240000,2026-05-16T01:34:00Z,1788-1-1-HN,0,0,0,0,
1778895300000,2026-05-16T01:35:00Z,1788-1-1-HN,0,3,0,3,
1778895360000,2026-05-16T01:36:00Z,1788-1-1-HN,0,0,0,0,
1778895420000,2026-05-16T01:37:00Z,1788-1-1-HN,0,0,0,0,
1778895480000,2026-05-16T01:38:00Z,1788-1-1-HN,0,0,0,0,
1778895540000,2026-05-16T01:39:00Z,1788-1-1-HN,0,0,0,0,
1778895600000,2026-05-16T01:40:00Z,1788-1-1-HN,0,0,0,0,
1778895660000,2026-05-16T01:41:00Z,1788-1-1-HN,0,0,0,0,
1778895720000,2026-05-16T01:42:00Z,1788-1-1-HN,1269,1977,1134,2608,
1778895780000,2026-05-16T01:43:00Z,1788-1-1-HN,422,202,87,475,
1778895840000,2026-05-16T01:44:00Z,1788-1-1-HN,0,7,0,7,
1778895900000,2026-05-16T01:45:00Z,1788-1-1-HN,0,26,0,26,
1778895960000,2026-05-16T01:46:00Z,1788-1-1-HN,0,0,0,0,
1778896020000,2026-05-16T01:47:00Z,1788-1-1-HN,286,591,153,674,
1778896080000,2026-05-16T01:48:00Z,1788-1-1-HN,17,0,0,17,
1778896140000,2026-05-16T01:49:00Z,1788-1-1-HN,700,895,536,1256,
1778896200000,2026-05-16T01:50:00Z,1788-1-1-HN,0,0,0,0,
1778896260000,2026-05-16T01:51:00Z,1788-1-1-HN,0,0,0,0,
1778896320000,2026-05-16T01:52:00Z,1788-1-1-HN,0,0,0,0,
1778896380000,2026-05-16T01:53:00Z,1788-1-1-HN,0,0,0,0,
1778896440000,2026-05-16T01:54:00Z,1788-1-1-HN,442,596,352,821,
